application_id,application_date,age,annual_income,employment_years,home_ownership,region,purpose,loan_amount,loan_term_months,interest_rate,credit_score,dti,revolving_utilization,num_open_credit_lines,num_late_payments_2yr,default_flag
APP000113,2025-09-05,53,29775.71,2.2,RENT,Midwest,debt_consolidation,8679.41,36,12.56,733,12.5,0.093,13,0,0
APP000114,2025-12-17,30,97020.89,14,MORTGAGE,West,vacation,13285.6,36,9.63,705,31.4,0,7,0,0
APP000115,2024-10-16,60,80164.82,12.1,RENT,Midwest,credit_card,21704.21,36,9.88,704,9.2,0,7,1,0
APP000116,2026-04-05,44,39569.2,16.2,MORTGAGE,Northeast,major_purchase,19060.15,36,8.67,715,42.4,0,6,1,0
APP000117,2026-02-19,46,96039.25,9.7,MORTGAGE,West,home_improvement,14888.34,36,5.16,850,20.0,0.053,7,0,0
APP000118,2025-05-28,46,50810.91,15.2,MORTGAGE,Northeast,major_purchase,9607.74,36,8.45,752,14.9,0.041,3,0,0
APP000119,2025-11-06,35,65055.69,10.7,RENT,Northeast,car,12452.69,36,14.39,618,6.2,0.167,4,0,0
APP000120,2023-09-29,55,72229.51,28.0,OWN,Midwest,debt_consolidation,9566.3,36,9.23,669,0,0,14,0,0
APP000121,2024-06-03,46,62210.41,14.2,MORTGAGE,Northeast,credit_card,17020.97,36,7.83,726,21.0,0,14,0,0
APP000122,2023-10-14,47,44525.68,12.8,RENT,South,credit_card,30881.76,36,7.51,822,6.6,0,8,1,0
APP000123,2023-12-07,58,39154.32,15.8,RENT,South,credit_card,15035.43,60,14.64,587,20.0,0.048,9,1,0
APP000124,2025-04-05,37,102005.46,7.2,RENT,South,small_business,36089.89,36,12.11,651,19.8,0,12,0,0
APP000125,2023-12-22,59,68743.84,8.7,OWN,South,small_business,6266.1,36,5.19,814,10.1,0.069,4,0,0
APP000126,2025-08-11,55,45814.76,15.0,MORTGAGE,Midwest,other,10757.79,36,12.16,642,24.1,0.216,0,1,0
APP000127,2025-06-03,37,67424.06,3.1,MORTGAGE,West,car,14472.68,60,9.58,760,18.6,0,7,2,0
APP000128,2024-02-09,31,18892.26,9.7,RENT,Northeast,debt_consolidation,7822.84,60,7.54,744,7.3,0.319,9,1,0
APP000129,2023-09-06,46,33866.72,9.1,RENT,South,credit_card,11745.65,36,7.98,759,26.3,0,6,2,0
APP000130,2024-10-02,52,26268.51,7.0,OWN,Midwest,debt_consolidation,13766.35,60,8.88,826,21.7,0.315,6,1,0
APP000131,2025-07-10,21,55224.83,3.6,RENT,South,debt_consolidation,5486.89,36,11.85,656,4.8,0,7,0,0
APP000132,2025-07-05,25,35059.75,2.3,RENT,South,debt_consolidation,15757.44,36,15.82,590,34.3,0.032,14,1,0
APP000133,2026-06-02,32,27142.8,12.5,OWN,Midwest,car,11088.7,36,17.78,495,27.9,0.276,11,1,1
APP000134,2024-08-30,41,88897.66,6.0,OWN,Northeast,debt_consolidation,11553.44,60,5.0,839,21.0,0,4,1,0
APP000135,2025-11-03,57,53614.24,2.6,MORTGAGE,South,credit_card,18461.06,36,8.11,756,15.0,0.1,1,1,0
APP000136,2024-05-12,28,28838.75,12,MORTGAGE,West,credit_card,5865.78,36,9.08,729,28.5,0,19,0,0
APP000137,2025-01-14,20,144540.42,0,MORTGAGE,South,credit_card,8263.13,36,13.85,582,16.4,0,10,3,1
APP000138,2026-05-27,38,144351.23,17.6,MORTGAGE,West,debt_consolidation,14223.28,36,12.96,634,15.6,0,10,0,0
APP000139,2025-06-15,26,22504.06,10,MORTGAGE,South,car,19795.24,36,13.65,635,21.5,0.251,6,1,0
APP000140,2026-05-11,57,112227.87,6.9,MORTGAGE,Midwest,car,22074.22,60,7.88,789,19.0,0,5,1,0
APP000141,2026-05-30,41,44147.16,8.4,MORTGAGE,Midwest,home_improvement,17826.81,60,9.9,755,9.0,0.248,14,2,0
APP000142,2025-08-17,36,57288.58,17.1,MORTGAGE,South,home_improvement,22321.88,60,11.98,680,21.9,0.026,14,2,0
APP000143,2025-08-23,40,33629.56,9.0,RENT,South,small_business,18134.0,36,9.78,686,32.9,0.333,2,1,0
APP000144,2024-11-15,38,20293.19,6.1,MORTGAGE,Midwest,debt_consolidation,45000,36,11.63,668,22.4,0,5,1,1
APP000145,2025-06-24,43,27842.5,9.2,RENT,West,other,13966.48,36,9.03,785,28.9,0.169,6,0,0
APP000146,2026-06-02,32,68893.33,2.9,MORTGAGE,Northeast,credit_card,13151.92,36,10.39,661,13.3,0.199,9,0,0
APP000147,2025-12-25,66,46500.18,18.1,MORTGAGE,Midwest,medical,13442.38,60,11.43,698,11.3,0,11,1,0
APP000148,2025-04-08,45,23142.35,9.6,RENT,South,major_purchase,13662.12,36,12.79,680,26.0,0.466,5,1,0
APP000149,2024-03-24,39,47349.08,5.1,RENT,South,debt_consolidation,8822.11,36,10.9,669,18.2,0.185,5,1,0
APP000150,2026-06-20,52,45606.37,8.6,MORTGAGE,West,car,24177.73,36,8.01,770,17.2,0.189,8,2,0
APP000151,2025-09-02,18,49975.67,0,OWN,South,small_business,12292.55,36,12.12,652,27.3,0.316,4,1,0
APP000152,2024-07-20,35,71527.18,17.9,RENT,South,other,20626.93,36,6.02,793,21.3,0,11,0,0
APP000153,2026-01-04,28,56146.18,0.6,RENT,Midwest,major_purchase,7576.54,36,7.01,771,15.4,0,4,0,0
APP000154,2026-03-12,30,52865.76,14,RENT,West,debt_consolidation,34943.45,36,7.67,768,15.8,0,5,1,0
APP000155,2026-02-18,30,54011.92,7.8,RENT,South,debt_consolidation,32708.37,60,13.79,652,25.0,0.04,11,0,0
APP000156,2026-03-16,64,68182.82,17.3,MORTGAGE,Midwest,medical,13598.0,60,13.23,622,10.4,0,1,1,0
APP000157,2023-12-20,50,24093.01,7.7,MORTGAGE,Midwest,credit_card,18081.81,36,11.31,716,14.3,0.177,11,0,0
APP000158,2025-11-10,55,78181.11,19.9,MORTGAGE,South,small_business,6007.71,36,9.68,682,34.9,0,14,0,0
APP000159,2026-09-03,37,41126.24,10.5,MORTGAGE,South,credit_card,15508.11,36,12.18,591,11.8,0.203,13,1,0
APP000160,2025-04-09,40,50202.23,4.8,MORTGAGE,Midwest,credit_card,12204.38,36,6.2,760,37.5,0.102,9,0,0
APP000161,2024-10-03,56,129887.22,10.4,OWN,Northeast,credit_card,9235.18,60,7.63,776,19.3,0.263,14,0,0
APP000162,2025-02-18,54,54946.94,4.3,MORTGAGE,Northeast,home_improvement,15016.96,36,8.46,825,20.1,0,0,1,0
APP000163,2024-11-06,68,44224.19,10.7,MORTGAGE,South,credit_card,6256.0,36,12.82,666,20.5,0.213,3,0,0
APP000164,2025-11-01,59,94272.55,11.6,OTHER,West,major_purchase,22877.67,60,9.02,753,26.2,0.014,12,1,0
APP000165,2024-09-29,54,68290.22,12.4,RENT,Midwest,medical,15965.55,36,12.88,653,32.6,0.222,9,0,0
APP000166,2025-10-07,42,64995.45,15.9,RENT,West,debt_consolidation,16023.53,36,11.52,678,29.9,0,14,0,0
APP000167,2024-06-12,34,83013.67,18,MORTGAGE,Midwest,medical,11683.38,36,15.84,558,34.8,0.203,6,1,1
APP000168,2025-09-06,35,94954.24,10.1,OWN,South,car,29777.67,60,13.59,667,24.1,0,14,0,0
APP000169,2024-12-29,22,92095.64,6,RENT,South,debt_consolidation,11632.16,36,13.25,627,12.5,0,8,1,0
APP000170,2024-05-11,42,46595.98,12.1,RENT,West,medical,15309.21,60,10.36,700,12.7,0,7,0,0
APP000171,2023-11-18,47,31660.15,13.4,MORTGAGE,Northeast,debt_consolidation,7573.36,36,15.59,571,31.5,0.314,19,1,0
APP000172,2024-12-03,41,69164.81,6.4,MORTGAGE,South,debt_consolidation,36604.61,60,5.0,825,15.6,0.106,8,2,0
APP000173,2025-10-21,52,83661.05,20.1,MORTGAGE,South,home_improvement,21381.45,36,8.27,756,30.0,0.199,11,1,0
APP000174,2025-08-17,45,60951.3,19.0,RENT,West,debt_consolidation,11037.44,36,8.38,750,12.4,0,3,0,0
APP000175,2024-07-02,35,111561.39,18.0,OWN,Midwest,home_improvement,10017.0,36,10.32,720,17.5,0,1,1,0
APP000176,2026-04-11,58,49631.75,14.8,RENT,Midwest,major_purchase,15965.2,36,9.66,744,34.1,0,11,0,0
APP000177,2025-09-02,56,51369.49,7.8,MORTGAGE,Midwest,debt_consolidation,5160.48,36,11.64,605,34.6,0.339,7,0,0
APP000178,2024-11-10,35,86505.11,12.8,OWN,South,car,20876.07,60,13.1,586,17.8,0.303,9,1,0
APP000179,2024-08-13,33,51424.26,10.4,RENT,South,home_improvement,10245.45,60,11.86,656,0,0.193,9,3,0
APP000180,2025-11-01,35,58877.84,9.6,RENT,South,car,13691.49,60,6.18,789,29.8,0,10,2,0
APP000181,2023-09-26,39,58626.13,8.7,MORTGAGE,South,medical,9530.47,36,15.19,562,29.3,0,5,1,0
APP000182,2025-07-02,46,50237.42,5.9,OWN,Northeast,debt_consolidation,14741.34,60,5.0,850,16.2,0,13,0,0
APP000183,2025-01-12,45,84409.69,19.3,MORTGAGE,South,debt_consolidation,10350.83,60,17.17,511,0.2,0.362,5,1,1
APP000184,2023-11-12,28,35015.48,0,MORTGAGE,South,credit_card,9600.7,36,5.0,839,30.2,0,4,0,0
APP000185,2025-07-16,50,86059.63,13.8,MORTGAGE,South,debt_consolidation,4415.69,36,11.11,646,30.4,0,12,1,0
APP000186,2025-03-06,33,88158.23,8.8,MORTGAGE,South,credit_card,4566.18,60,11.64,684,0,0,5,2,0
APP000187,2024-02-09,29,51342.57,5.8,RENT,West,debt_consolidation,17094.52,36,9.12,722,31.1,0.121,17,1,0
APP000188,2025-09-28,33,72814.74,3.3,OTHER,Midwest,debt_consolidation,7326.87,60,14.38,596,34.1,0.353,6,1,0
APP000189,2025-12-24,38,55846.45,10.7,MORTGAGE,South,debt_consolidation,32402.52,36,9.97,732,12.4,0.088,4,0,0
APP000190,2025-07-15,51,60966.18,20.1,MORTGAGE,Midwest,debt_consolidation,22119.24,60,9.57,754,19.2,0,8,0,0
APP000191,2026-06-29,41,54799.45,11.1,RENT,West,home_improvement,10157.56,36,9.98,729,9.2,0,3,0,0
APP000192,2023-09-20,21,50872.33,4.7,RENT,South,debt_consolidation,9573.97,36,10.93,678,15.5,0.157,3,0,0
APP000193,2025-05-15,43,24818.85,16.0,OWN,South,home_improvement,11867.54,60,6.07,787,25.4,0,7,1,0
APP000194,2024-10-27,18,49785.6,2,RENT,South,debt_consolidation,20827.42,36,10.93,707,8.8,0,6,0,0
APP000195,2024-07-27,53,53888.77,8.8,MORTGAGE,South,debt_consolidation,19519.32,36,10.19,721,26.4,0,13,1,0
APP000196,2025-08-10,25,69303.61,0.8,RENT,West,small_business,11364.55,60,6.9,759,32.1,0.019,9,0,0
APP000197,2025-07-01,18,44242.66,1.3,RENT,South,medical,23576.47,36,8.69,694,17.5,0,13,0,0
APP000198,2024-01-13,48,38875.07,9.3,MORTGAGE,Midwest,debt_consolidation,14104.86,36,7.39,768,21.7,0.219,9,0,0
APP000199,2024-12-07,52,32521.27,13.8,RENT,South,vacation,14768.3,36,13.22,643,6.8,0.156,7,2,0
APP000200,2026-01-27,24,113870.38,6.5,MORTGAGE,South,credit_card,22737.95,36,9.13,747,30.5,0,6,1,0
APP000201,2024-01-29,28,57370.06,1.4,RENT,Northeast,major_purchase,13753.04,60,12.8,595,29.2,0.184,10,3,1
APP000202,2025-07-09,46,70002.56,9.8,MORTGAGE,South,small_business,11271.53,36,7.08,766,6.8,0.198,4,0,0
APP000203,2025-06-28,35,87009.09,19,RENT,South,major_purchase,10035.01,36,8.52,770,18.3,0,14,3,0
APP000204,2025-08-31,29,75012.31,0.8,OTHER,South,debt_consolidation,9858.6,36,5.42,811,36.9,0.191,8,1,0
APP000205,2025-02-08,21,49027.73,5,MORTGAGE,Northeast,other,14325.83,60,10.45,681,22.6,0,13,1,0
APP000206,2025-03-19,42,22604.73,17.8,MORTGAGE,West,credit_card,9764.3,60,10.84,738,29.6,0,5,1,0
APP000207,2023-09-19,34,103759.97,12.6,RENT,West,credit_card,17334.37,36,13.43,682,26.0,0.127,6,0,0
APP000208,2023-09-09,33,32383.28,17,MORTGAGE,Northeast,medical,10466.25,36,5.42,837,44.1,0,8,2,0
APP000209,2025-03-30,36,37228.39,6.5,OWN,South,home_improvement,4009.54,36,12.89,629,25.3,0.346,10,1,0
APP000210,2026-01-01,31,59884.1,11.9,RENT,Midwest,debt_consolidation,29457.33,36,17.17,560,14.0,0,13,1,1
APP000211,2026-05-03,32,98087.22,8.4,MORTGAGE,West,debt_consolidation,6107.84,36,10.8,707,16.0,0,12,1,0
APP000212,2026-06-18,63,37594.99,27.2,RENT,South,debt_consolidation,4859.49,60,7.37,784,19.1,0,6,1,0
APP000213,2024-06-05,39,114626.1,21.3,MORTGAGE,South,credit_card,7897.28,60,16.23,501,19.7,0.034,9,1,1
APP000214,2024-02-26,55,25277.32,4.2,MORTGAGE,South,car,7232.09,36,5.69,807,27.5,0,5,0,0
APP000215,2026-02-16,52,35102.93,12.6,RENT,South,car,44604.47,36,12.95,644,25.9,0.13,8,2,0
APP000216,2024-08-07,43,54399.37,13.2,OWN,South,small_business,10058.15,36,12.88,655,25.3,0.083,15,1,0
APP000217,2025-09-11,18,109866.02,2,MORTGAGE,Midwest,major_purchase,12452.92,36,8.7,692,20.3,0.169,3,1,0
APP000218,2024-01-06,39,86397.22,0,MORTGAGE,West,debt_consolidation,9237.51,36,11.34,690,21.4,0,8,0,0
APP000219,2025-05-25,56,32003.33,23.5,RENT,South,credit_card,9013.18,36,10.75,705,34.4,0.088,13,1,0
